"active";"category_name";"reference";"name";"color";"description";"price";"quantity";"picture_link"
1;"Maillots de bain";"leo-x005j-48";"Maillot de bain ""Frange"" jaune fluo";"jaune";"Maillot de bain bandeau ""Frange"" jaune fluo. Bandeau avec 2 rangées de frange, mousse amovible. Se noue dans le dos et tour de cou réglable et amovible. Culotte assorti, se noue sur les côtés. Composition: 85% Polyamide - 15% Elasthane.";"12.00";4;"http://www.chantefeuille.fr/4289-6849-thickbox/maillot-de-bain-frange-jaune-fluo.jpg"
1;"Maillots de bain";"leo-x005c-42";"Maillot de bain ""Frange"" corail";"corail";"Maillot de bain bandeau ""Frange"" corail. Bandeau avec 2 rangées de frange, mousse amovible. Se noue dans le dos et tour de cou réglable et amovible. Culotte assorti, se noue sur les côtés. Composition: 85% Polyamide - 15% Elasthane.";"12.00";4;"http://www.chantefeuille.fr/4290-6851-thickbox/maillot-de-bain-frange-corail.jpg"
1;"Maillots de bain";"leo-x005c-44";"Maillot de bain ""Frange"" corail";"corail";"Maillot de bain bandeau ""Frange"" corail. Bandeau avec 2 rangées de frange, mousse amovible. Se noue dans le dos et tour de cou réglable et amovible. Culotte assorti, se noue sur les côtés. Composition: 85% Polyamide - 15% Elasthane.";"12.00";4;"http://www.chantefeuille.fr/4290-6851-thickbox/maillot-de-bain-frange-corail.jpg"
1;"Maillots de bain";"leo-x005c-46";"Maillot de bain ""Frange"" corail";"corail";"Maillot de bain bandeau ""Frange"" corail. Bandeau avec 2 rangées de frange, mousse amovible. Se noue dans le dos et tour de cou réglable et amovible. Culotte assorti, se noue sur les côtés. Composition: 85% Polyamide - 15% Elasthane.";"12.00";3;"http://www.chantefeuille.fr/4290-6851-thickbox/maillot-de-bain-frange-corail.jpg"
1;"Maillots de bain";"leo-x005c-48";"Maillot de bain ""Frange"" corail";"corail";"Maillot de bain bandeau ""Frange"" corail. Bandeau avec 2 rangées de frange, mousse amovible. Se noue dans le dos et tour de cou réglable et amovible. Culotte assorti, se noue sur les côtés. Composition: 85% Polyamide - 15% Elasthane.";"12.00";4;"http://www.chantefeuille.fr/4290-6851-thickbox/maillot-de-bain-frange-corail.jpg"
1;"Maillots de bain";"leo-x005f-42";"Maillot de bain ""Frange"" fushia";"fushia";"Maillot de bain bandeau ""Frange"" corail. Bandeau avec 2 rangées de frange, mousse amovible. Se noue dans le dos et tour de cou réglable et amovible. Culotte assorti, se noue sur les côtés. Composition: 85% Polyamide - 15% Elasthane.";"12.00";1;"http://www.chantefeuille.fr/4291-6853-thickbox/maillot-de-bain-frange-fushia.jpg"
1;"Maillots de bain";"leo-x005f-44";"Maillot de bain ""Frange"" fushia";"fushia";"Maillot de bain bandeau ""Frange"" corail. Bandeau avec 2 rangées de frange, mousse amovible. Se noue dans le dos et tour de cou réglable et amovible. Culotte assorti, se noue sur les côtés. Composition: 85% Polyamide - 15% Elasthane.";"12.00";3;"http://www.chantefeuille.fr/4291-6853-thickbox/maillot-de-bain-frange-fushia.jpg"
1;"Maillots de bain";"leo-x005f-46";"Maillot de bain ""Frange"" fushia";"fushia";"Maillot de bain bandeau ""Frange"" corail. Bandeau avec 2 rangées de frange, mousse amovible. Se noue dans le dos et tour de cou réglable et amovible. Culotte assorti, se noue sur les côtés. Composition: 85% Polyamide - 15% Elasthane.";"12.00";2;"http://www.chantefeuille.fr/4291-6853-thickbox/maillot-de-bain-frange-fushia.jpg"
1;"Maillots de bain";"leo-x005f-48";"Maillot de bain ""Frange"" fushia";"fushia";"Maillot de bain bandeau ""Frange"" corail. Bandeau avec 2 rangées de frange, mousse amovible. Se noue dans le dos et tour de cou réglable et amovible. Culotte assorti, se noue sur les côtés. Composition: 85% Polyamide - 15% Elasthane.";"12.00";2;"http://www.chantefeuille.fr/4291-6853-thickbox/maillot-de-bain-frange-fushia.jpg"
1;"Maillots de bain";"leo-x005b-42";"Maillot de bain ""Frange"" bleu";"bleu";"Maillot de bain bandeau ""Frange"" bleu. Bandeau avec 2 rangées de frange, mousse amovible. Se noue dans le dos et tour de cou réglable et amovible. Culotte assorti, se noue sur les côtés. Composition: 85% Polyamide - 15% Elasthane.";"12.00";0;"http://www.chantefeuille.fr/4292-6855-thickbox/maillot-de-bain-frange-bleu.jpg"
1;"Maillots de bain";"leo-x005b-44";"Maillot de bain ""Frange"" bleu";"bleu";"Maillot de bain bandeau ""Frange"" bleu. Bandeau avec 2 rangées de frange, mousse amovible. Se noue dans le dos et tour de cou réglable et amovible. Culotte assorti, se noue sur les côtés. Composition: 85% Polyamide - 15% Elasthane.";"12.00";3;"http://www.chantefeuille.fr/4292-6855-thickbox/maillot-de-bain-frange-bleu.jpg"
1;"Maillots de bain";"leo-x005b-46";"Maillot de bain ""Frange"" bleu";"bleu";"Maillot de bain bandeau ""Frange"" bleu. Bandeau avec 2 rangées de frange, mousse amovible. Se noue dans le dos et tour de cou réglable et amovible. Culotte assorti, se noue sur les côtés. Composition: 85% Polyamide - 15% Elasthane.";"12.00";4;"http://www.chantefeuille.fr/4292-6855-thickbox/maillot-de-bain-frange-bleu.jpg"
